date,store_nbr,onpromotion,sales
2026-01-01,1,15,3037
2026-01-02,1,13,3054
2026-01-03,1,12,3217
2026-01-04,1,15,3411
2026-01-05,1,12,2590
2026-01-06,1,17,2978
2026-01-07,1,15,2826
2026-01-08,1,14,3025
2026-01-09,1,8,2853
2026-01-10,1,5,2854
2026-01-11,1,5,2789
2026-01-12,1,8,2478
2026-01-13,1,15,2833
2026-01-14,1,2,2238
2026-01-15,1,14,2972
2026-01-16,1,7,2803
2026-01-17,1,10,3137
2026-01-18,1,20,3457
2026-01-19,1,14,2822
2026-01-20,1,12,2696
2026-01-21,1,15,2916
2026-01-22,1,8,2681
2026-01-23,1,21,3379
2026-01-24,1,19,3653
2026-01-25,1,11,3278
2026-01-26,1,18,2826
2026-01-27,1,15,2902
2026-01-28,1,14,2923
2026-01-29,1,14,3022
2026-01-30,1,22,3505
2026-01-31,1,16,3456
2026-02-01,1,15,3253
2026-02-02,1,12,2698
2026-02-03,1,19,3215
2026-02-04,1,8,2572
2026-02-05,1,18,3045
2026-02-06,1,12,3147
2026-02-07,1,21,3870
2026-02-08,1,13,3231
2026-02-09,1,13,2901
2026-02-10,1,12,2749
2026-02-11,1,16,3017
2026-02-12,1,14,2932
2026-02-13,1,14,3212
2026-02-14,1,20,3819
2026-02-15,1,14,3372
2026-02-16,1,13,2859
2026-02-17,1,14,2925
2026-02-18,1,8,2675
2026-02-19,1,6,2465
2026-02-20,1,13,3123
2026-02-21,1,15,3722
2026-02-22,1,10,3064
2026-02-23,1,16,2952
2026-02-24,1,14,2853
2026-02-25,1,18,3171
2026-02-26,1,9,2785
2026-02-27,1,15,3205
2026-02-28,1,16,3491
2026-03-01,1,19,3709
2026-03-02,1,15,2947
2026-03-03,1,14,2832
2026-03-04,1,9,2865
2026-03-05,1,4,2768
2026-03-06,1,6,3076
2026-03-07,1,10,3490
2026-03-08,1,15,3362
2026-03-09,1,21,3418
2026-03-10,1,14,2987
2026-03-11,1,14,2984
2026-03-12,1,20,3411
2026-03-13,1,14,3321
2026-03-14,1,11,3353
2026-03-15,1,21,3774
2026-03-16,1,19,3193
2026-03-17,1,11,2839
2026-03-18,1,12,2977
2026-03-19,1,13,3097
2026-03-20,1,8,3031
2026-03-21,1,23,3984
2026-03-22,1,9,3242
2026-03-23,1,22,3205
2026-03-24,1,13,2907
2026-03-25,1,6,2754
2026-03-26,1,14,3178
2026-03-27,1,11,3289
2026-03-28,1,12,3503
2026-03-29,1,9,3103
2026-03-30,1,21,3242
2026-03-31,1,16,3105
2026-04-01,1,12,3010
2026-04-02,1,18,3417
2026-04-03,1,14,3474
2026-04-04,1,20,4041
2026-04-05,1,16,3577
2026-04-06,1,8,2829
2026-04-07,1,19,3319
2026-04-08,1,17,3366
2026-04-09,1,19,3575
2026-04-10,1,12,3512
2026-04-11,1,8,3482
2026-04-12,1,17,3755
2026-04-13,1,24,3646
2026-04-14,1,9,2700
2026-04-15,1,19,3301
2026-04-16,1,14,3328
2026-04-17,1,6,2898
2026-04-18,1,16,3792
2026-04-19,1,13,3487
2026-04-20,1,10,2704
2026-04-21,1,14,3005
2026-04-22,1,6,2814
2026-04-23,1,14,3289
2026-04-24,1,10,3221
2026-04-25,1,10,3420
2026-04-26,1,15,3510
2026-04-27,1,16,3159
2026-04-28,1,25,3495
2026-04-29,1,19,3384
2026-04-30,1,14,3122
2026-05-01,1,12,3523
2026-05-02,1,14,3779
2026-05-03,1,13,3668
2026-05-04,1,14,2914
2026-05-05,1,11,2851
2026-05-06,1,0,2512
2026-05-07,1,21,3672
2026-05-08,1,9,3227
2026-05-09,1,20,4074
2026-05-10,1,15,3655
2026-05-11,1,15,3232
2026-05-12,1,17,3335
2026-05-13,1,9,3038
2026-05-14,1,11,3286
2026-05-15,1,8,3252
2026-05-16,1,14,3653
2026-05-17,1,23,4175
2026-05-18,1,12,3085
2026-05-19,1,16,3033
2026-05-20,1,16,3322
2026-05-21,1,15,3283
2026-05-22,1,13,3488
2026-05-23,1,20,4090
2026-05-24,1,14,3750
2026-05-25,1,12,2981
2026-05-26,1,5,2881
2026-05-27,1,19,3555
2026-05-28,1,18,3534
2026-05-29,1,16,3625
2026-05-30,1,13,3729
2026-05-31,1,22,4046
2026-06-01,1,14,3150
2026-06-02,1,11,3262
2026-06-03,1,17,3472
2026-06-04,1,13,3274
2026-06-05,1,14,3721
2026-06-06,1,13,3794
2026-06-07,1,13,3664
2026-06-08,1,7,2845
2026-06-09,1,10,3150
2026-06-10,1,11,3230
2026-06-11,1,22,3778
2026-06-12,1,11,3515
2026-06-13,1,14,3773
2026-06-14,1,17,4027
2026-06-15,1,13,3136
2026-06-16,1,9,3051
2026-06-17,1,8,2934
2026-06-18,1,21,3677
2026-06-19,1,20,4067
2026-06-20,1,16,4008
2026-06-21,1,24,4164
2026-06-22,1,12,2984
2026-06-23,1,15,3443
2026-06-24,1,19,3477
2026-06-25,1,10,3185
2026-06-26,1,16,3720
2026-06-27,1,16,3985
2026-06-28,1,13,3650
2026-06-29,1,16,3290
2026-06-30,1,17,3574
2026-01-01,2,17,3511
2026-01-02,2,6,3233
2026-01-03,2,5,3243
2026-01-04,2,19,3946
2026-01-05,2,14,2988
2026-01-06,2,13,3093
2026-01-07,2,18,3657
2026-01-08,2,16,3388
2026-01-09,2,9,3337
2026-01-10,2,14,3698
2026-01-11,2,15,3586
2026-01-12,2,20,3526
2026-01-13,2,20,3447
2026-01-14,2,17,3394
2026-01-15,2,13,3283
2026-01-16,2,8,3164
2026-01-17,2,18,3977
2026-01-18,2,16,3828
2026-01-19,2,6,2687
2026-01-20,2,15,3285
2026-01-21,2,13,3307
2026-01-22,2,16,3349
2026-01-23,2,10,3462
2026-01-24,2,17,3775
2026-01-25,2,21,4032
2026-01-26,2,21,3443
2026-01-27,2,13,3053
2026-01-28,2,27,3870
2026-01-29,2,22,3688
2026-01-30,2,15,3480
2026-01-31,2,13,3843
2026-02-01,2,8,3521
2026-02-02,2,16,3214
2026-02-03,2,12,3135
2026-02-04,2,14,3284
2026-02-05,2,10,3213
2026-02-06,2,9,3296
2026-02-07,2,14,3951
2026-02-08,2,7,3376
2026-02-09,2,11,2980
2026-02-10,2,19,3465
2026-02-11,2,22,3646
2026-02-12,2,16,3508
2026-02-13,2,11,3561
2026-02-14,2,14,3926
2026-02-15,2,14,3614
2026-02-16,2,14,3217
2026-02-17,2,19,3430
2026-02-18,2,14,3177
2026-02-19,2,18,3527
2026-02-20,2,5,3215
2026-02-21,2,20,4023
2026-02-22,2,9,3405
2026-02-23,2,9,3006
2026-02-24,2,10,3015
2026-02-25,2,17,3408
2026-02-26,2,17,3489
2026-02-27,2,8,3199
2026-02-28,2,24,4323
2026-03-01,2,16,3945
2026-03-02,2,15,3404
2026-03-03,2,24,3798
2026-03-04,2,7,3045
2026-03-05,2,8,3351
2026-03-06,2,19,3945
2026-03-07,2,8,3692
2026-03-08,2,21,3934
2026-03-09,2,17,3399
2026-03-10,2,20,3603
2026-03-11,2,13,3288
2026-03-12,2,10,3505
2026-03-13,2,19,3996
2026-03-14,2,10,3650
2026-03-15,2,13,3801
2026-03-16,2,14,3344
2026-03-17,2,9,3166
2026-03-18,2,14,3588
2026-03-19,2,24,4040
2026-03-20,2,11,3642
2026-03-21,2,11,3801
2026-03-22,2,14,3758
2026-03-23,2,18,3535
2026-03-24,2,16,3492
2026-03-25,2,11,3243
2026-03-26,2,13,3475
2026-03-27,2,16,3888
2026-03-28,2,8,3730
2026-03-29,2,8,3509
2026-03-30,2,13,3117
2026-03-31,2,15,3474
2026-04-01,2,14,3514
2026-04-02,2,13,3516
2026-04-03,2,13,3774
2026-04-04,2,15,4032
2026-04-05,2,16,4041
2026-04-06,2,14,3392
2026-04-07,2,17,3486
2026-04-08,2,17,3718
2026-04-09,2,16,3782
2026-04-10,2,11,3705
2026-04-11,2,18,4323
2026-04-12,2,16,3892
2026-04-13,2,17,3681
2026-04-14,2,20,3801
2026-04-15,2,7,3301
2026-04-16,2,14,3424
2026-04-17,2,16,3834
2026-04-18,2,8,3747
2026-04-19,2,21,4235
2026-04-20,2,16,3685
2026-04-21,2,22,3867
2026-04-22,2,13,3391
2026-04-23,2,11,3546
2026-04-24,2,16,3978
2026-04-25,2,19,4262
2026-04-26,2,14,3998
2026-04-27,2,17,3672
2026-04-28,2,16,3560
2026-04-29,2,16,3558
2026-04-30,2,6,3320
2026-05-01,2,14,3980
2026-05-02,2,6,3755
2026-05-03,2,12,3838
2026-05-04,2,3,2954
2026-05-05,2,19,3846
2026-05-06,2,11,3487
2026-05-07,2,18,3676
2026-05-08,2,14,4001
2026-05-09,2,18,4517
2026-05-10,2,20,4328
2026-05-11,2,16,3679
2026-05-12,2,12,3472
2026-05-13,2,19,4048
2026-05-14,2,14,3728
2026-05-15,2,15,4121
